Network | Station | Name | Description | Town | Region
CU | ANWB | Willy Bob | 5km northwest of Codrington | Codrington | Antigua and Barbuda
CU | BBGH | Gun Hill | 300m west of Gun Hill Signal Station | Gun Hill | Barbados
CU | BCIP | Isla Barro Colorado | North side of Barro Colorado | Barro Colorado | Panama
CU | GRGR | Clabony | Northeast corner of Michael Roman Catholic School | Grenville | Grenada
CU | GRTK | Grand Turk | North end of island | Grand Turk | Turks and Caicos Islands
CU | GTBY | Guantanamo Bay | 6km due south of Boqueron | Guantanamo Bay | Cuba
CU | MTDJ | Mount Denham | Atop Mount Denham | Pike | Jamaica
CU | SDDR | Presa de Sabenta | At the foot of the dam at Presa de Sabenta Lake | La Isleta | Dominican Republic
CU | TGUH | Tegucigalpa | Inside the Colegio de Defensa Nacional | Tegucigalpa | Honduras
GT | BDFB | Brasilia | Inside the Brasilia National Park | Brasilia | Brazil
GT | BOSA | Boshof | 8km south-southeast of Boshof | Boshof | South Africa
GT | CPUP | Villa Florida | 8km west northwest of Providencia | Providencia | Paraguay
GT | DBIC | Dimbokro | 1km northwest of Assebrakro | Assebrakro | Cote d'Ivoire
GT | LBTB | Lobatse | 15km west northwest of Otse | Otse | Botswana
GT | LPAZ | La Paz | Just north of Janq’u Quta Lake | Milluni | Bolivia
GT | PLCA | Paso Flores | 15km North of San Pedro | San Pedro | Rio Negro, Argentina
GT | SBA | Scott Base | South tip of Ross Island | Scott Base | Antarctica
GT | VNDA | Wright Valley | 120km west northwest of Scott Base | Scott Base | Antarctica
IC | BJT | Baijiatuan | 24km northwest of Beijing city center | Beijing | China
IC | ENH | Enshi | At the end of Tuqiao Ave 1st Alley | Enshi, Hubei Province | China
IC | HIA | Hailar | On the banks of the Hailar River | Hulun Buir, Neimenggu Autonomous Region | China
IC | KMI | Kunming | West of Jinma Shopping Center | Panlong, Yunnan Province | China
IC | LSA | Lhasa | 7km north of Lhasa’s city center | Baricun, Tibet | China
IC | MDJ | Mudanjiang | In a valley northwest of Mudanjiang | Badacun, Heilongjiang Province | China
IC | QIZ | Qiongzhong | On a hillside 2km from Qiongzhong | Qiongzhong, Hainan Province | China
IC | SSE | Shanghai | Shanghai Observatory | Sheshanzhen | China
IC | WMQ | Urumqi | 7km east southeast of Urumqi city center | Shuimogou, Xinjiang Province | China
IC | XAN | Xi’an | In the Wangjianzhuangcun valley | Wangjiazhuangcun, Xi’an | China
IU | ADK | Adak | 2km west northwest of Adak | Adak | Alaska
IU | AFI | name | 1.5km due south of the Baha’i House of Worship Samoa | Vadala | Samoa
IU | ANMO | Albuquerque | At Albuquerque Seismological Laboratory | Kirtland, NM | USA
IU | ANTO | Ankara | 8km southwest of Ankara city center | Ankara | Turkey
IU | BBSR | Bermuda Institute of Ocean Sciences | At the Bermuda Institute of Ocean Sciences | St George's | Bermuda
IU | BILL | Bilibino | 1km north of Bilibino | Bilibino | Russia
IU | CASY | Casey | At Casey Station | Casey Station | Antarctica
